"","x"
"1",500
"2",501.66257231052
"3",503.316982479449
"4",504.963270219218
"5",506.601475051541
"6",508.231636308321
"7",509.853793132514
"8",511.467984479076
"9",513.074249115796
"10",514.672625624232
"11",516.263152400582
"12",517.845867656529
"13",519.420809420171
"14",520.988015536843
"15",522.547523670002
"16",524.099371302093
"17",525.643595735423
"18",527.180234092964
"19",528.70932331925
"20",530.230900181225
"21",531.745001269038
"22",533.251662996934
"23",534.750921604059
"24",536.242813155295
"25",537.727373542112
"26",539.20463848333
"27",540.674643526014
"28",542.137424046235
"29",543.593015249894
"30",545.041452173543
"31",546.482769685177
"32",547.917002485029
"33",549.344185106389
"34",550.764351916368
"35",552.177537116702
"36",553.583774744543
"37",554.98309867322
"38",556.375542613036
"39",557.761140112041
"40",559.139924556786
"41",560.511929173112
"42",561.87718702689
"43",563.235731024796
"44",564.587593915072
"45",565.932808288263
"46",567.271406577981
"47",568.603421061633
"48",569.928883861174
"49",571.247826943855
"50",572.560282122945
"51",573.866281058462
"52",575.165855257899
"53",576.459036076973
"54",577.745854720311
"55",579.026342242194
"56",580.300529547271
"57",581.568447391239
"58",582.830126381605
"59",584.085596978335
"60",585.33488949459
"61",586.578034097428
"62",587.815060808466
"63",589.0459995046
"64",590.270879918686
"65",591.489731640227
"66",592.702584116039
"67",593.909466650965
"68",595.110408408499
"69",596.305438411519
"70",597.494585542902
"71",598.67787854622
"72",599.855346026401
"73",601.027016450371
"74",602.192918147737
"75",603.353079311431
"76",604.507527998327
"77",605.656292129953
"78",606.799399493089
"79",607.936877740408
"80",609.068754391141
"81",610.195056831702
"82",611.31581231629
"83",612.431047967582
"84",613.540790777288
"85",614.645067606841
"86",615.743905187967
"87",616.837330123317
"88",617.925368887098
"89",619.008047825683
"90",620.085393158185
"91",621.157430977109
"92",622.224187248927
"93",623.285687814689
"94",624.34195839062
"95",625.393024568716
"96",626.438911817318
"97",627.47964548175
"98",628.515250784832
"99",629.545752827534
"100",630.57117658952
"101",631.591546929724
"102",632.606888586954
"103",633.617226180434
"104",634.62258421038
"105",635.622987058593
"106",636.618458988992
"107",637.609024148187
"108",638.59470656606
"109",639.575530156274
"110",640.551518716889
"111",641.522695930849
"112",642.489085366583
"113",643.450710478527
"114",644.407594607674
"115",645.35976098211
"116",646.307232717555
"117",647.250032817907
"118",648.18818417577
"119",649.121709572981
"120",650.050631681143
"121",650.974973062159
"122",651.894756168735
"123",652.810003344927
"124",653.720736826634
"125",654.626978742143
"126",655.52875111262
"127",656.426075852621
"128",657.318974770635
"129",658.207469569532
"130",659.091581847124
"131",659.971333096641
"132",660.846744707225
"133",661.717837964441
"134",662.584634050765
"135",663.447154046085
"136",664.305418928172
"137",665.159449573187
"138",666.009266756163
"139",666.854891151493
"140",667.696343333383
"141",668.533643776365
"142",669.366812855761
"143",670.195870848155
"144",671.02083793186
"145",671.841734187416
"146",672.658579598004
"147",673.471394049968
"148",674.280197333246
"149",675.085009141841
"150",675.885849074283
"151",676.68273663406
"152",677.475691230124
"153",678.264732177295
"154",679.049878696728
"155",679.831149916357
"156",680.608564871381
"157",681.382142504631
"158",682.15190166707
